DATE;SUMMARY;START;END;LOCATION_SHORT;LOCATION_ADDRESS;LOCATION_TEXT;AUDIENCE;STATUS;Kürzel;DESCRIPTION;REMARKS;UID
date;Text;time;time;Text;address;Text;One of: Vorstand, OV, OVplus, other;Zero to many of: Planned, booked, homepage-published, email-invited, done, cancelled, location-needed;Text;text;Text;UID capital letters, generated
2.6.2025;Runde Grüne Stunde (Juni);19:00;21:30;BOBs;Kaflerstrasse 16, 81241 München;Restaurant „BOB’s im Alten Pumpenwerk“, Pasing;OVplus;homepage-published;rund_stammtisch;"Get together im OV-Pasing/Aubing: unser Stammtisch freut sich auf Dich & Euch!
Wir kommen, um zusammen und miteinander GRÜN zu werden und zu sein, d.h. Kennenlernen und Austauschen – menschlich und politisch. Alle sind willkommen zur grünen Stunde an jedem 2. Tag des Monats! Interessierte Bürgerinnen und Bürger, Nachbarinnen und Nachbarn und Nichtmitglieder sind neben unseren Mitgliedern herzlich eingeladen, uns kennenzulernen und mit uns eine gute Zeit zu verbringen.
Es gibt kein Programm – wer da ist, kann gestalten.
Zeit ist relativ, wenn es nett ist, kann es auch gern länger werden. Wir starten gegen 19 Uhr, Du kannst gern jederzeit dazu kommen. Wir wandern mit dem Stammtisch durch unseren großen Ortsverband Pasing – Aubing und pflegen die Nachbarschaft, d.h. wir kommen somit bei den meisten Mitgliedern und Bürgern mal in die Nähe. Die aktuelle Location ist das Restau „BOB’s im Alten Pumpenwerk“, Kaflerstrasse 16, 81241 München (in Pasing).
Wer gern noch dazu kommen möchte, melde sich bitte direkt über die Vorstandsadresse … oder überrascht uns vor Ort.  (Grün ist die Farbe des Tages!)
in English: You are welcome to get in touch with us at our monthly casual meeting (every 2nd day of the month) for all members of Ortsverband Pasing-Aubing, friends and those, who want to become friend with us. This is the place for green ideas for our lifes, families, city quarters, home base, environment – and so: for green hearts to be in good company. We will start around 7 p.m., feel free to join us at any time. The current location is the restaurant „BOB’s im alten Pumpenwerk“, Kaflerstr. 16, 81241 Munich (in Pasing). If you would like to join us, please contact the board directly or act spontaneously and surprise us … (look for green)! Even if you are not a member, we look forward to getting to know you.
";;
24.6.2025;Junitreffen des Ortsverbandes;19:00;21:30;Ubo;Ubostraße 9, 81245 Aubing;Im Saal, da Seminarraum belegt;OV;;; belegt;;
26.6.2025;Diskussion Gaza;19:00;21:30;Ubo;Ubostraße 9, 81245 Aubing;Seminarraum;OV;;;;;
2.7.2025;Runde Grüne Stunde (Juli);19:00;21:30;;;;OVplus;Location-needed;rund_stammtisch;Stammtisch;;
15.7.2025;Diskussion Freiheitsdienst ;19:00;21:30;Pavillon Freihampton;Otto-Meitinger-Str. 2, 81248 München;;OV;;;Freihampton ;;
24.7.2025;Julitreffen des Ortsverbandes;19:00;21:30;Aubinger Allee ;Aubinger Allee 48, 81248 München;;OV;;;;;
2.8.2025;Runde Grüne Stunde (August);19:00;21:30;;;;;;;;;
2.9.2025;Runde Grüne Stunde (September);19:00;21:30;;;;;;;;;
24.9.2025;Septembertreffen des Ortsverbandes;19:00;21:30;Pasinger Fabrik;August-Exeter-Straße 1, 81245 München;;OV;;;;;
2.10.2025;Runde Grüne Stunde (Oktober);;;;;;;;;;;
25.10.2025; Oktobertreffen des Ortsverbandes;15:00;17:00;Lemoni;Papinstraße 22, 81249 München;;OV;;;;;
2.11.2025;Runde Grüne Stunde (November);;;;;;;;;;;
24.11.2025;Novembertreffen des Ortsverbandes;19:00;21:30;Ubo;Ubostraße 9, 81245 Aubing;;OV;;;;;
2.12.2025;Runde Grüne Stunde (Dezember);19:00;21:30;;;;;;;;;

